epoch,box_loss,cls_loss,val_box_loss,val_cls_loss
135,0.46183,0.29966,1.4351,0.96688
136,0.48029,0.30353,1.439,0.96929
137,0.48411,0.30696,1.4386,0.98068
138,0.48175,0.30737,1.4366,0.95557
139,0.47912,0.30487,1.4311,0.94435
140,0.48072,0.3091,1.434,0.94533
141,0.4603,0.2966,1.4426,0.94601
142,0.48951,0.31001,1.4425,0.95276
143,0.47495,0.30098,1.4444,0.95515
144,0.45577,0.29459,1.4424,0.95246
145,0.46629,0.30276,1.4371,0.95379
146,0.47066,0.29952,1.4315,0.9491
147,0.46634,0.30023,1.4334,0.9523
148,0.46073,0.30441,1.4397,0.9554
149,0.45132,0.29837,1.4414,0.97134
150,0.48164,0.30533,1.4361,0.9728
151,0.4599,0.30064,1.4317,0.96831
152,0.46987,0.3027,1.4332,0.95216
153,0.45675,0.29507,1.43,0.9499
154,0.45439,0.29584,1.4275,0.96154
155,0.46196,0.2983,1.4295,0.95811
156,0.46868,0.30443,1.4335,0.95536
157,0.46243,0.29653,1.4409,0.96283
158,0.44875,0.29,1.4436,0.96433
159,0.47347,0.30253,1.4445,0.96535
160,0.45204,0.29209,1.4383,0.97775
161,0.45827,0.29516,1.4344,0.97809
162,0.45974,0.29302,1.4359,0.96993
163,0.44046,0.28895,1.4308,0.96494
164,0.44261,0.28448,1.435,0.95979
165,0.46122,0.29985,1.4385,0.95916
166,0.45948,0.30036,1.4398,0.96959
167,0.45242,0.29351,1.4368,0.96267
168,0.46193,0.30073,1.4359,0.96326
169,0.46193,0.29808,1.4348,0.9734
170,0.45499,0.29525,1.4342,0.98101
171,0.45227,0.29493,1.4327,0.98166
172,0.45366,0.29166,1.4324,0.97351
173,0.42564,0.27711,1.4349,0.96197
174,0.44346,0.28805,1.4323,0.96906
175,0.44686,0.28864,1.4314,0.9596
176,0.44315,0.28457,1.4291,0.94838
177,0.45995,0.29861,1.4311,0.94802
178,0.45415,0.298,1.4341,0.94995
179,0.44478,0.2888,1.4325,0.95895
180,0.44811,0.29133,1.431,0.9611
181,0.45106,0.28927,1.4318,0.96244
182,0.44221,0.2877,1.4319,0.96657
183,0.43792,0.28932,1.4345,0.97383
184,0.45258,0.29368,1.4324,0.98037
185,0.45356,0.29413,1.4324,0.98645
186,0.4524,0.29667,1.4341,0.96896
187,0.43504,0.28387,1.4347,0.9678
188,0.44204,0.2857,1.4354,0.96854
189,0.44257,0.2872,1.4349,0.97112
190,0.44697,0.28886,1.4323,0.97072
191,0.44251,0.27548,1.4412,0.94892
192,0.44317,0.27024,1.4428,0.93632
193,0.41937,0.25947,1.4435,0.9458
194,0.4143,0.25519,1.4445,0.95764
195,0.41082,0.25674,1.4461,0.97098
196,0.40776,0.25105,1.4477,0.97704
197,0.39508,0.2496,1.4484,0.98148
198,0.39988,0.24971,1.448,0.98106
199,0.40371,0.25032,1.4463,0.98241
200,0.40481,0.25137,1.4438,0.98129
